claim_id,claim_type,theme,status,rationale,evidence_tables
H1,hypothesis,readability_vs_faithfulness,Partial,"Readability comparison is available with average word count LLM=95.000 vs template=95.000. This supports a first comparison, but stronger evidence would require richer readability measures or human evaluation.",readability_summary.csv; compare_condition_summary.csv
H2,hypothesis,constraint_value,Partial,"Validator summaries are available, but unconstrained ablation results are not clearly present in the current result pack. This supports only partial assessment of the value of constraints.",validator_summary.csv; validator_failure_summary.csv
H3,hypothesis,drift_messaging,Partial,"Drift-related summaries exist, but the current notebook does not yet demonstrate a strong causal link between drift disclosure and safer or more calibrated action behavior.",drift_summary.csv; thinfile_summary.csv
H4,hypothesis,thin_file_governance,Partial,"Thin-file analysis is available, but comparative evidence is incomplete.",thinfile_summary.csv
RQ1,research_question,faithfulness,Supported,"Faithfulness table populated with overlap@5=1.000, direction accuracy=1.000, and action consistency=1.000.",faithfulness_summary.csv
RQ2,research_question,stability,Partial,Perturbation summary is available only at the EO level because perturbed LLM narratives are missing; full narrative stability analysis is not yet possible.,perturbation_response_summary.csv; perturbation_build_summary.csv
RQ3,research_question,decision_utility,Partial,"No human simulatability study is present in the current notebook run. Decision utility is only indirectly evidenced through proxy metrics such as faithfulness, disclosure behavior, and action consistency.",faithfulness_summary.csv; thinfile_summary.csv; drift_summary.csv
RQ4,research_question,drift_awareness,Partial,"Drift summary is populated from EO.monitoring, so drift-stratified analysis is available. However, stronger support would require explicit evidence that WARN cases change action calibration or disclosure behavior in the intended direction.",drift_summary.csv
RQ5,research_question,thin_file_robustness,Partial,"Thin-file summary is available, but the comparative delta analysis is incomplete.",thinfile_summary.csv
RQ6,research_question,portability_optional,Not yet tested,Optional portability slices are not present in the current notebook run.,
