event_id,sample_source,source_file,condition,driver_count,mentioned_driver_count,driver_coverage,review_language_flag,mentioned_drivers,eo_top_drivers_if_available,missing_drivers_if_available,narrative_excerpt,manual_category,manual_reviewer_note,detected_mentioned_eo_drivers,detected_omitted_eo_drivers,manual_reviewer_note_original
3490679,20k robustness audit,/workspaces/miniature-fishstick/artifacts/baselines/lgbm_numeric_v1_subsample/llm_20000_robustness/llm_20000_attempt_audit.jsonl,constrained_20k,,,,False,,C14; TransactionDT; C5; C13; card2,,"Risk band: LOW (score 0.225). Low risk score driven mainly by features C14 and TransactionDT supports allowing the transaction. Top risk-increasing drivers: C14, TransactionDT. Recommended action: allow.",C_SALIENCE_COMPRESSION,Mentions C14/TransactionDT; omits C5/C13/card2.,C14; TransactionDT,C5; C13; card2,"Narrative foregrounds C14 and TransactionDT but omits C5, C13 and card2; risk/action framing is preserved, so this is salience compression rather than complete omission."
3493280,20k robustness audit,/workspaces/miniature-fishstick/artifacts/baselines/lgbm_numeric_v1_subsample/llm_20000_robustness/llm_20000_attempt_audit.jsonl,constrained_20k,,,,False,,C9; C5; C2; card5; C11,,"Risk band: LOW (score 0.028). The fraud risk is low with a score of 0.0276. Key drivers include C9, C5, and C2 contributing positively to the score. Despite thin file status and low evidence strength, the recommendation is to allow the transaction. Top risk-increasing drivers: C9, C5, C2. limited evidence due to thin file and low evidence strength. Recommended action: allow.",C_SALIENCE_COMPRESSION,Mentions C9/C5/C2; omits card5/C11.,C9; C5; C2,card5; C11,"Narrative foregrounds C9, C5 and C2"
3494053,20k robustness audit,/workspaces/miniature-fishstick/artifacts/baselines/lgbm_numeric_v1_subsample/llm_20000_robustness/llm_20000_attempt_audit.jsonl,constrained_20k,,,,False,,card2; TransactionAmt; C14; C5; D3,,Risk band: LOW (score 0.003). Transaction assessed as low risk with minimal evidence due to thin file and low evidence strength. Top risk-increasing drivers: card2. Top risk-decreasing drivers: TransactionAmt. Limited evidence due to thin file and low evidence strength. Recommended action: allow.,C_SALIENCE_COMPRESSION,Mentions card2/TransactionAmt; omits C14/C5/D3.,card2; TransactionAmt,C14; C5; D3,"Narrative foregrounds card2 and TransactionAmt but omits C14, C5 and D3; risk/action framing and thin-file disclosure are preserved, so this is salience compression."
3495519,20k robustness audit,/workspaces/miniature-fishstick/artifacts/baselines/lgbm_numeric_v1_subsample/llm_20000_robustness/llm_20000_attempt_audit.jsonl,constrained_20k,,,,False,,C5; TransactionAmt; D1; TransactionDT; C13,,"Risk band: LOW (score 0.002). The transaction is assessed as low risk and recommended for approval despite limited evidence due to thin file status and low evidence strength. Top risk-decreasing drivers: C5, TransactionAmt, D1. limited evidence due to thin file flag and low evidence strength. Recommended action: allow.",C_SALIENCE_COMPRESSION,Mentions C5/TransactionAmt/D1; omits TransactionDT/C13.,C5; TransactionAmt; D1,TransactionDT; C13,"Narrative foregrounds C5, TransactionAmt and D1 but omits TransactionDT and C13; risk/action framing and thin-file disclosure are preserved, so this is salience compression."
3497141,20k robustness audit,/workspaces/miniature-fishstick/artifacts/baselines/lgbm_numeric_v1_subsample/llm_20000_robustness/llm_20000_attempt_audit.jsonl,constrained_20k,,,,False,,C14; card5; TransactionAmt; C5; TransactionDT,,"Risk band: LOW (score 0.133). Low risk fraud score driven primarily by card and transaction details, but limited evidence due to thin file and low evidence strength. Top risk-increasing drivers: C14, card5. Limited evidence strength due to thin file and low evidence confidence. Recommended action: allow.",C_SALIENCE_COMPRESSION,Mentions C14/card5; omits TransactionAmt/C5/TransactionDT.,C14; card5,TransactionAmt; C5; TransactionDT,"Narrative foregrounds C14 and card5, with broader reference to card and transaction details, but omits TransactionAmt, C5 and TransactionDT; risk/action framing and thin-file disclosure are preserved, so this is salience compression."
3498283,20k robustness audit,/workspaces/miniature-fishstick/artifacts/baselines/lgbm_numeric_v1_subsample/llm_20000_robustness/llm_20000_attempt_audit.jsonl,constrained_20k,,,,False,,C13; C5; D3; TransactionDT; D15,,"Risk band: LOW (score 0.008). Low fraud risk with key drivers increasing confidence. Limited evidence due to thin file and low evidence strength. Top risk-increasing drivers: C13, C5. Limited evidence due to thin file and low evidence strength. Recommended action: allow.",C_SALIENCE_COMPRESSION,Mentions C13/C5; omits D3/TransactionDT/D15.,C13; C5,D3; TransactionDT; D15,"Narrative foregrounds C13 and C5 but omits D3, TransactionDT and D15; risk/action framing and thin-file disclosure are preserved, so this is salience compression."
3498653,20k robustness audit,/workspaces/miniature-fishstick/artifacts/baselines/lgbm_numeric_v1_subsample/llm_20000_robustness/llm_20000_attempt_audit.jsonl,constrained_20k,,,,False,,TransactionDT; C5; card1; C13; C1,,"Risk band: LOW (score 0.010). The fraud risk is low based on the key drivers identified, with no concerns from file thinness or evidence strength. No drift issues were detected. Top risk-increasing drivers: TransactionDT, C5. Recommended action: allow.",C_SALIENCE_COMPRESSION,Mentions TransactionDT/C5; omits card1/C13/C1.,TransactionDT; C5,card1; C13; C1,Narrative foregrounds TransactionDT
3505323,20k robustness audit,/workspaces/miniature-fishstick/artifacts/baselines/lgbm_numeric_v1_subsample/llm_20000_robustness/llm_20000_attempt_audit.jsonl,constrained_20k,,,,False,,D2; D1; C14; D15; C5,,"Risk band: LOW (score 0.002). The risk score is low with strong influence from drivers D2 and D1. Due to thin file status and low evidence strength, confidence in the decision is limited. Top risk-increasing drivers: D1. Top risk-decreasing drivers: D2. Limited evidence due to thin file status and low evidence strength. Recommended action: allow.",C_SALIENCE_COMPRESSION,Mentions D2/D1; omits C14/D15/C5.,D2; D1,C14; D15; C5,"Narrative identifies D2 and D1 with directional roles but omits C14, D15 and C5. Risk/action framing plus thin-file and low-evidence disclosures are preserved, so this is salience compression rather than complete omission."
3507034,20k robustness audit,/workspaces/miniature-fishstick/artifacts/baselines/lgbm_numeric_v1_subsample/llm_20000_robustness/llm_20000_attempt_audit.jsonl,constrained_20k,,,,False,,C5; D2; card2; TransactionAmt; D3,,"Risk band: LOW (score 0.004). The transaction is assessed as low risk with key drivers including C5 and D2, but limited evidence is available due to thin file status and low evidence strength. Top risk-increasing drivers: D2. Top risk-decreasing drivers: C5. Limited evidence available due to thin file flag and low evidence strength. Recommended action: allow.",C_SALIENCE_COMPRESSION,Mentions C5/D2; omits card2/TransactionAmt/D3.,C5; D2,card2; TransactionAmt; D3,"Narrative identifies C5 and D2 with directional roles but omits card2, TransactionAmt and D3. Risk/action framing plus thin-file and low-evidence disclosures are preserved, so this is salience compression rather than complete omission."
3508447,20k robustness audit,/workspaces/miniature-fishstick/artifacts/baselines/lgbm_numeric_v1_subsample/llm_20000_robustness/llm_20000_attempt_audit.jsonl,constrained_20k,,,,False,,D2; C5; card2; D3; dist1,,"Risk band: LOW (score 0.016). The fraud risk is low with mixed driver influences identified; however, evidence is limited due to a thin file flag and low evidence strength. Top risk-increasing drivers: D2, C5. Top risk-decreasing drivers: card2. limited evidence due to thin file flag and low evidence strength. Recommended action: allow.",C_SALIENCE_COMPRESSION,Mentions D2/C5/card2; omits D3/dist1.,D2; C5; card2,D3; dist1,"Narrative identifies D2, C5 and card2 with directional roles but omits D3 and dist1. Risk/action framing plus thin-file and low-evidence disclosures are preserved, so this is salience compression."
3510284,20k robustness audit,/workspaces/miniature-fishstick/artifacts/baselines/lgbm_numeric_v1_subsample/llm_20000_robustness/llm_20000_attempt_audit.jsonl,constrained_20k,,,,False,,C5; D2; D15; TransactionDT; card2,,"Risk band: LOW (score 0.005). The fraud score is low with primary drivers including C5, D2, and D15. Despite the low risk, limited evidence is present due to a thin file flag and low evidence strength. Top risk-increasing drivers: D2. Top risk-decreasing drivers: C5, D15. limited evidence due to thin file flag and low evidence strength. Recommended action: allow.",C_SALIENCE_COMPRESSION,Mentions C5/D2/D15; omits TransactionDT/card2.,C5; D2; D15,TransactionDT; card2,"Narrative identifies C5, D2 and D15 with directional roles but omits TransactionDT and card2. Risk/action framing plus thin-file and low-evidence disclosures are preserved, so this is salience compression."
3511571,20k robustness audit,/workspaces/miniature-fishstick/artifacts/baselines/lgbm_numeric_v1_subsample/llm_20000_robustness/llm_20000_attempt_audit.jsonl,constrained_20k,,,,False,,C5; TransactionDT; D15; D1; TransactionAmt,,"Risk band: LOW (score 0.002). Transaction assessed as low risk with key drivers indicating minimal concern; however, limited evidence due to thin file and low evidence strength. Top risk-increasing drivers: TransactionDT. Top risk-decreasing drivers: C5, D15. Limited evidence due to thin file flag and low evidence strength. Recommended action: allow.",C_SALIENCE_COMPRESSION,Mentions C5/TransactionDT/D15/D1; omits TransactionAmt.,C5; TransactionDT; D15; D1,TransactionAmt,"Narrative identifies TransactionDT, C5 and D15 with directional roles but omits D1 and TransactionAmt. Risk/action framing plus thin-file and low-evidence disclosures are preserved, so this is salience compression."
