Question / Hypothesis,Topic,What the proposal set out to test,Evidence provided in this notebook,Assessment in this submission,Comment for thesis write-up
RQ1,Faithfulness,"Whether narratives preserve EO driver membership, direction, and recommended action class.","Directly evaluated using overlap@5, direction accuracy, and action consistency on the EO × LLM merged sample.",Addressed,This remains the strongest-supported research question in the current submission.
RQ2,Stability,Whether narratives remain stable under perturbations and degrade appropriately under sanity checks.,"Direct perturbation evidence from a 100-event sampled EO subset expanded into 300 perturbed variants, plus thin-file and evidence-strength subgroup summaries. The notebook evaluates response to action flips, thin-file disclosure toggles, and top-driver sign flips.",Addressed,"This is a compact rather than exhaustive stability study, but it provides direct perturbation-based evidence."
RQ3,Decision utility,Whether narratives provide better operational understanding than raw driver lists (for example via simulatability or forward-prediction tasks).,"Indirect proxy only: narratives contain summary, drivers, disclosures, and action fields, but no formal utility task is implemented.",Partially addressed,Present this as proxy evidence rather than a full decision-utility evaluation.
RQ4,Drift awareness,Whether drift and monitoring disclosures reduce over-trust and improve action calibration.,Not directly analysed in the current notebook.,Not addressed,Treat as future work or note that drift-focused analysis is outside the present run.
RQ5,Thin-file robustness,"Whether narratives behave appropriately under sparse evidence, especially through disclosure and calibrated action recommendations.","Direct thin-file disclosure compliance checks, thin-file and evidence-strength stratified summaries, and perturbation-based disclosure toggle evidence.",Partially addressed,"Disclosure behaviour is well supported; action recalibration under sparse evidence is evidenced more strongly than before, but remains intertwined with policy overrides."
RQ6,Portability,Whether the EO → narrative protocol generalises to optional cyber or crypto slices.,No portability experiment is included in the current notebook.,Not addressed,This was an optional proposal item and can be formally marked as out of scope.
H1,LLM readability advantage,Whether constrained LLM narratives are more readable than templates without loss of faithfulness.,"Faithfulness comparison infrastructure exists, but readability is not formally measured.",Partially addressed,Support this only qualitatively unless a readability proxy or annotation is added.
H2,Value of constraints,Whether removing grounding and validator constraints reduces faithfulness and increases invalid claims.,"No unconstrained ablation is included, but the perturbation experiment provides indirect evidence that constrained narratives remain responsive to EO changes under the implemented guardrail policy.",Partially addressed,"This does not substitute for a true unconstrained ablation, so avoid overstating the result."
H3,Effect of drift / low-evidence messaging,Whether uncertainty and drift messaging reduces over-confident or overly aggressive actions.,"Disclosure presence is checked directly, and the perturbation analysis shows that disclosure behaviour tracks thin-file status changes. Behavioural consequences are not directly evaluated.",Partially addressed,Current evidence supports disclosure responsiveness more than downstream behavioural effect.
H4,Thin-file action calibration,Whether limited-evidence messaging reduces inappropriate hard actions while preserving alignment.,"Thin-file disclosures are present where required, and perturbation results show that action behaviour is strongly shaped by the thin-file guardrail policy under low-evidence conditions.",Partially addressed,"This is now better supported, but the current evidence still reflects one implemented guardrail policy rather than a broader comparative calibration study."
